# id	file_path	transparent_color_r	g	b
[TEXTURES]
500	map\map2_bank.png	255	255	255
0	textures\gimmick.png	0	0	255
10	textures\gimmick2.png	0	0	255
20	textures\enemy.png	57	189	255
30	textures\enemy2.png	57	189	255
40	textures\item.png	215	121	214
50	textures\enemy4.png	203	102	185
60	textures\HUB.png	0	0	255
70	textures\enemy3.png	0	0	255
80	textures\Cai-Long.png	203	102	185
90	textures\Window.png	215	121	214
100	textures\treasures.png	60	188	252
110	textures\HUD2.png	255	13	17
120	textures\item2.png	60	188	252
130	textures\enemy5.png	57	189	255
140	textures\enemy6.png	0	0	255
150	textures\enemy7.png	0	0	255
160	textures\enemy8.png	0	0	255
170	textures\Map2.png	54	168	167
200	textures\Map2-box.png	255	255	255
#ID	TRTileSet	TCTileSet	TRMap	TCMap	TotalTiles	Matrix_Path
[MAP]
500	20	11	60	128	210	map\map2_map.txt

# id	left	top	right	bottom	texture_id
[SPRITES]
#boat
3001	210	65	258	81	50
#====GreenTurtle
#Walk-right
90001	69	312	89	328	20
90002	91	312	111	328	20
90003	113	312	133	328	20
90004	135	312	155	328	20
90005	157	312	175	328	20

#Walk-left
90101	607	312	627	328	30
90102	585	312	605	328	30
90103	563	312	583	328	30
90104	541	312	561	328	30
90105	521	312	539	328	30
#Die
90201	261	313	281	331	20
90202	239	312	259	331	20
90203	217	313	237	331	20
90204	195	312	215	331	20

#===Quái xanh
#Walk-right
110101	2	371	25	400	20
110102	27	375	51	400	20
110103	53	372	82	400	20

#Walk-left
110201	671	371	694	400	30
110202	645	375	669	400	30
110203	614	372	643	400	30

#Jump-right
110301	106	374	130	400	20
110302	132	375	156	400	20

#Jump-left
110401	566	374	590	400	30
110402	540	375	564	400	30

#die
110501	566	480	590	506	130


#===Đại bác
#Idle
120101	155	115	179	145	50

#Bị đẩy
120201	217	115	241	145	50
120202	186	115	210	145	50
120203	155	115	179	145	50
120204	124	115	148	145	50
#==== gimmick=====
# idle right
10000	2	2	18	21	0
10001	22	2	38	21	0

#walk right
10002	2	24	18	43	0
10003	21	24	37	43	0
10004	39	24	55	43	0
10005	58	24	74	43	0
10006	79	24	95	43	0
10007	99	24	115	43	0

#Jump right
10008	2	46	18	70	0
10009	22	50	36	66	0

#colision right
10010	2	72	18	97	0
10011	21	72	43	97	0
10012	42	72	64	97	0
10013	65	72	87	97	0
10014	94	72	116	97	0
10015	120	72	142	97	0
10016	170	72	192	97	0

#====die====
10101	8	243	24	259	0
10102	25	243	41	259	0
10103	44	243	60	259	0

#idle left
10017	399	2	415	21	10
10018	379	2	395	21	10

#walk left
10019	399	24	415	43	10
10020	380	24	396	43	10
10021	362	24	378	43	10
10022	322	24	338	43	10
10023	302	24	318	43	10

#Jump left
10024	399	46	415	70	10
10025	381	50	395	66	10

#colision left
10026	399	72	415	97	10
10027	377	72	393	97	10
10028	356	72	372	97	10
10029	330	72	352	97	10
10030	277	72	294	97	10
10031	250	72	268	97	10
10032	201	72	217	97	10

#=====star====
#small star
20000	8	141	16	149	0
20001	20	141	28	149	0

#big star
20002	33	138	53	159	0
20003	55	138	75	159	0
20004	124	137	144	159	0
20005	148	137	168	159	0



#brick
40000	120	52	136	68	40



#===MEDICINE===
#Pink-medicine
60000	1	2	15	16	60
#Orange-medicine
60001	17	0	31	16	60
#Boom-pink-medicine
60002	33	1	47	16	60
#Boom-black-medicine
60003	49	1	63	16	60

#flower
70000	1	1	23	44	100
#===Item đồng hồ
130101	24	1	41	29	100

#bomb
#lăn
70100	85	22	101	38	50
70101	102	22	118	38	50


#bomb-no
80605	323	142	339	158	0
80606	340	142	356	158	0
80607	359	142	375	158	0
80608	378	142	394	158	0
80609	393	142	409	158	0




#====HUB
80710	0	32	256	64	60


#Thanh-hub
80720	0	95	254	127	110
# 0hp
80721	9	15	59	31	110
#1hp
80722	9	34	59	50	110
#2hp
80723	9	55	59	71	110
#3HP
80724	9	76	59	92	110
#4hp
80725	73	15	123	31	110

#pink-medical
80730	79	52	101	74	110
#boom
80731	111	52	133	74	110
#pink
80732	142	52	164	74	110

#==Number
#0
80740	32	135	41	143	110
#1
80741	44	135	52	143	110
#2
80742	55	135	63	143	110
#3
80743	67	135	75	143	110
#4
80744	79	135	87	143	110
#5
80745	90	135	98	143	110
#6
80746	101	135	109	143	110
#7
80747	112	135	120	143	110
#8
80748	123	135	131	143	110
#9
80749	135	135	143	143	110
# 0hp
80721	9	15	59	31	110
#1hp
80722	9	34	59	50	110
#2hp
80723	9	55	59	71	110
#3HP
80724	9	76	59	92	110
#4hp
80725	73	15	123	31	110

#===Boss-vàng
#walk-right
160101	729	172	761	205	150
160102	764	172	797	205	150
160103	803	172	832	205	150
160104	836	172	869	205	150

#walk-left
160201	112	172	144	205	140
160202	76	172	109	205	140
160203	41	172	70	205	140
160204	4	172	37	205	140

#attack-right
160301	771	208	816	239	150
160302	822	208	868	239	150

#attack-left
160401	57	208	102	239	140
160402	5	208	51	239	140

#jump-right
160501	803	172	832	205	150

#jump-left
160601	41	172	70	205	140

#being-attacked-right
160701	840	243	869	276	150
160702	805	243	834	276	150
160703	770	243	799	276	150

#being-attacked-left
160801	4	243	33	276	140
160802	39	243	68	276	140
160803	74	243	103	276	140

#die
160901	698	246	726	276	150

#kiếm-die
161001	704	178	720	197	150
161002	689	173	700	197	150
161003	663	187	685	197	150
161004	153	1102	169	1121	160
161005	173	1102	184	1126	160

#Song
#Song-1
990000	301	143	317	159	170
990001	301	169	317	185	170
990002	301	194	317	210	170
990003	301	217	317	233	170
#Song 2
90010	325	143	341	159	170
90011	325	169	341	185	170
90012	325	194	341	210	170
90013	325	217	341	233	170
#Song 3
90020	347	143	363	159	170
90021	347	169	363	185	170
90022	347	194	363	210	170
90023	347	217	363	233	170
#Song 4
90030	368	143	384	159	170
90031	368	169	384	185	170
90032	368	194	384	210	170
90033	368	217	384	233	170

#Song-dam-1 
90040	395	143	411	159	170
90041	395	169	411	185	170
90042	395	194	411	210	170
90043	395	217	411	233	170
#Song-dam-2
90050	420	143	436	159	170
90051	420	169	436	185	170
90052	420	194	436	210	170
90053	420	217	436	233	170
#Song-dam-3
90060	446	143	462	159	170
90061	446	169	462	185	170
90062	446	194	462	210	170
90063	446	217	462	233	170
#Song-dam-4
90070	476	143	492	159	170
90071	476	169	492	185	170
90072	476	194	492	210	170
90073	476	217	492	233	170
#===Co
150101	528	65	568	105	30
150102	570	65	610	105	30
150103	612	65	652	105	30
150104	654	65	694	105	30

#===BOX
200000	19	27	59	67	200
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

#====GreenTurtle
#Walk-right
1100	90001	100	90002	100	90003	100	90004	100	90005	100
#Walk-left
1101	90101	100	90102	100	90103	100	90104	100	90105	100
#Die
1102	90201	100	90202	100	90203	100	90204	100


#Gimmick
#idle right
100	10000	2500	10001	200	10000	200	10001	200
#idle left
101	10017	2500	10018	200	10017	200	10018	200
#walk right
102	10002	100	10003	100	10004	100	10005	100	10006	100	10007	100
#walk left
103	10019	100	10020	100	10021	100	10022	100	10023	100
#jump right
104	10008	500
#Jump left
105	10024	100
#colision right
106	10010	100	10011	100	10012	100	10013	100	10014	100	10015	100	10016	100
#colision left
107	10026	100	10027	100	10028	100	10029	100	10030	100	10031	100	10032	100

#die
108	10101	100	10102	100	10103	100

#===Boss-vàng
#walk-right
1800	160101	50	160102	50	160103	50	160104	50
#walk-left
1801	160201	50	160202	50	160203	50	160204	50
#attack-right
1802	160301	50	160302	50
#attack-left
1803	160401	50	160402	50
#jump-right
1804	160501	50
#jump-left
1805	160601	50
#being-attacked-right
1806	160701	200	160702	200	160703	200
#being-attacked-left
1807	160801	200	160802	200	160803	200
#die
1808	160901	200
#kiếm-die
1809	161001	20	161002	20	161003	20	161004	20	161005	20


#star
#small-star
200	20000	100	20001	100
#big-star
201	20002	100	20003	100	20004	10

#brick
400	40000	100



#Medicine
#pink
600	60000	100
#orange
601	60001	100
#bomb-pink
602	60002	100
#bomb-black
603	60003	100
#===Item đồng hồ
1500	130101	100
#bomb
#lăn
701	70100	100	70101	100




#bomb-no
865	80605	200	80606	200	80607	200	80608	200	80609	200

#====HUB
873	80710	100


#===Đại bác
#Idle
1400	120101	100
#Bị đẩy
1401	120201	100	120202	100	120203	100	120204	100

#===Quái xanh
#Walk-right
1300	110101	100	110102	100	110103	100
#Walk-left
1301	110201	100	110202	100	110203	100
#Jump-right
1302	110301	100	110302	100
#Jump-left
1303	110401	100	110402	100
#die
1304	110501	100
#=======Song
900	990000	200	990001	200	990002	200	990003	200
901	90010	200	90011	200	90012	200	90013	200
